sentence	label
These risk differences (drug-placebo difference in the number of cases of suicidality per 1000 patients treated) are provided in Table 1.	0
In some patients additional Factor VIII was given.	0
"In extensive metabolizers (most of the population) and at doses less than or equal to 10 mg, nebivolol is preferentially beta1 selective."	0
It should be noted that clomipramine hydrochloride is not approved for use in treating bipolar depression.	0
The discontinuation rate for rash in clinical trials was 0.5%.	0
Indirect hyperbilirubinemia has occurred frequently during treatment with CRIXIVAN and has infrequently been associated with increases in serum transaminases.	0
"Following a single 20 mg oral zolpidem tartrate dose, mean Cmax and AUC were found to be two times (250 vs. 499 ng/mL) and five times (788 vs. 4,203 ng<U+2219>hr/mL) higher, respectively, in hepatically -compromised patients."	0
"In the same study, patients treated with PRINIVIL and hydrochlorothiazide for up to 24 weeks had a mean decrease in serum potassium of 0.1 mEq/L; approximately 4% of patients had increases greater than 0.5 mEq/L and approximately 12% had a decrease greater than 0.5 mEq/L."	0
Recommended Dosage for PONV (2.2) Adults: 40 mg EMEND capsules within 3 hours prior to induction of anesthesia.	0
Do not co-administer ACCURETIC with aliskiren: in patients with diabetes.	0
"Families and caregivers of patients being treated with antidepressants for major depressive disorder or other indications, both psychiatric and nonpsychiatric, should be alerted about the need to monitor patients for the emergence of agitation, irritability, unusual changes in behavior, and the other symptoms described above, as well as the emergence of suicidality, and to report such symptoms immediately to health care providers."	0
Isosorbide dinitrate is contraindicated in patients who are allergic to it.	0
Nisoldipine was negative when tested in a battery of genotoxicity assays including the Ames test and the CHO/HGRPT assay for mutagenicity and the in vivo mouse micronucleus test and in vitro CHO cell test for clastogenicity.	0
Thioridazine: Coadministration of single doses of Zaleplon 20 mg and thioridazine 50 mg produced additive effects on decreased alertness and impaired psychomotor performance for 2 to 4 hours after administration.	0
Loxapine is 96.6% bound to human plasma proteins.	0
The conversion of HMG-CoA to mevalonate is an early step in the biosynthetic pathway for cholesterol.	0
"Clinical evaluation and periodic laboratory determinations are necessary to monitor changes in fluid balance, electrolyte concentrations, and acid-base balance during prolonged parenteral therapy or whenever the condition of the patient warrants such evaluation."	0
CRIXIVAN may not be effective due to decreased indinavir concentrations in patients taking these agents concomitantly.	0
Tricyclic Antidepressants (TCAs): Coadministration significantly increased plasma TCA levels.	1
"Antihypertensive therapy may be initiated with the lowest dose of ZIAC, one 2.5/6.25 mg tablet once daily."	0
Patients with certain disorders involving heart failure associated with preserved left ventricular ejection fraction may not benefit from digoxin treatment and may be particularly susceptible to adverse reactions when they are treated with digoxin.	0
"Cases of myopathy, including rhabdomyolysis, have been reported with fluvastatin coadministered with colchicine, and caution should be exercised when prescribing fluvastatin with colchicine."	0
"Examples selective serotonin reuptake inhibitors (SSRI), serotonin norepinephrine reuptake inhibitors (SNRI), triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, tryptophan, buspirone, St. John's Wort CYP2D6 Inhibitors Clinical Impact The concomitant use of VYVANSE and CYP2D6 inhibitors may increase the exposure of dextroamphetamine, the active metabolite of VYVANSE compared to the use of the drug alone and increase the risk of serotonin syndrome."	0
"Absorption Following oral administration of ALTACE, peak plasma concentrations (Cmax) of ramipril are reached within 1 hour."	0
In some patients additional factor VIII was given.	0
"No measurable effects on daytime alertness or performance occurred following temazepam treatment or during the withdrawal period, even though a transient sleep disturbance in some sleep parameters was observed following withdrawal of the higher doses."	0
Initiation of quetiapine in patients taking LEXIVA with ritonavir: Refer to the quetiapine prescribing information for initial dosing and titration of quetiapine.	0
Co-administration of SAMSCA and ketoconazole 200mg daily results in a 5-fold increase in exposure to tolvaptan.	1
MYCOBUTIN Capsules must not be administered for MAC prophylaxis to patients with active tuberculosis.	0
"If patients experience symptomatic bradycardia, reduce the dose of TOPROL-XL."	0
"After at least 10 days following the initiation of ritonavir , resume Tracleer at the recommended initial dose once daily or every other day based upon individual tolerability see Cytochrome P450 Drug Interactions ( 7.1 ) ."	0
Nephrolithiasis: Cases of nephrolithiasis have been reported with fosamprenavir.	0
"In one patient, liver injury, manifested by elevated hepatic enzymes up to 40X ULN and jaundice with bilirubin up to 12X ULN, recurred upon rechallenge, and was followed by recovery upon drug discontinuation, providing evidence that STRATTERA likely caused the liver injury."	0
"If co-administration is necessary, reduce the quetiapine dose to 1/6 of the current dose and monitor for quetiapine-associated adverse reactions."	1
Clinical studies of SURMONTIL (trimipramine maleate) were not adequate to determine whether subjects aged 65 and over respond differently from younger subjects.	0
Monitor for toxicity when coadministering lidocaine with drugs that decrease hepatic blood flow.	1
"Seven-day treatment with ketoconazole (200mg per day), a potent inhibitor of CYP3A4, did not affect the steady-state pharmacokinetics of selegiline in subjects who received EMSAM 6mg per 24 hours for 7 days and no differences in the pharmacokinetics of ketoconazole were observed."	0
This suggests that the use of fluoxetine in patients with liver disease must be approached with caution.	0
Oral doses <U+2265>10 mg of candesartan cilexetil/kg/day administered to pregnant rats during late gestation and continued through lactation were associated with reduced survival and an increased incidence of hydronephrosis in the offspring.	0
"In a study of 21 pediatric cancer patients (4 to 18 years of age) who received three intravenous doses of 0.15 mg/kg of ondansetron at 4-hour intervals, patients older than 15 years of age exhibited ondansetron pharmacokinetic parameters similar to those of adults."	0
"HMG CoA-reductase inhibitors: Lovastatin, simvastatin POTENTIAL for serious reactions such as risk of myopathy including rhabdomyolysis."	0
"Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary)."	0
"Since Ventavis inhibits platelet function , there is a potential for increased risk of bleeding , particularly in patients maintained on anticoagulants or platelet inhibitors ."	0
In patients with hypertension initiate at 25 mg once daily.	0
